iter	RMSE
0	14.27946045
1	12.05988668
2	10.68416127
3	9.309437097
4	8.439185602
5	7.643092285
6	7.051885414
7	6.561231288
8	6.255086899
9	5.966982975
10	5.751811841
11	5.497071027
12	5.319837977
13	5.123261173
14	5.033641552
15	4.914651773
16	4.798412584
17	4.719429515
18	4.61803598
19	4.564057714
20	4.476249453
21	4.436022991
22	4.342105185
23	4.313374554
24	4.226562903
25	4.110225193
26	4.070480956
27	4.006917853
28	3.935421948
29	3.912726304
30	3.895553552
31	3.82968395
32	3.815290572
33	3.799166829
34	3.791856219
35	3.695726733
36	3.661054392
37	3.629968505
38	3.596108009
39	3.588068521
40	3.580222619
41	3.505054964
42	3.460908607
43	3.398675509
44	3.332960137
45	3.326985962
46	3.287917601
47	3.254310949
48	3.246643146
49	3.180215635
50	3.132537005
51	3.10168944
52	3.071570162
53	3.067646854
54	3.063398256
55	3.026221149
56	3.006401411
57	2.979858649
58	2.962403445
59	2.948926477
60	2.903065152
61	2.865242589
62	2.839422977
63	2.81097172
64	2.807922588
65	2.788188032
66	2.762093252
67	2.749427206
68	2.712511156
69	2.709907543
70	2.707996084
71	2.686634026
72	2.643544075
73	2.616580455
74	2.581143278
75	2.554918995
76	2.529002992
77	2.493319129
78	2.464371578
79	2.448271366
80	2.42920414
81	2.413831522
82	2.407449988
83	2.39111863
84	2.373417851
85	2.336728224
86	2.334861376
87	2.326151413
88	2.302197932
89	2.27484158
90	2.257395338
91	2.247393048
92	2.245552369
93	2.234982556
94	2.222853182
95	2.208358623
96	2.188460049
97	2.18730556
98	2.17802764
99	2.170462554
