iter	Passed	Remaining
0	3	355
1	6	338
2	10	325
3	13	318
4	16	315
5	19	306
6	22	303
7	26	299
8	29	301
9	33	297
10	36	293
11	39	289
12	42	284
13	46	282
14	49	279
15	52	277
16	56	277
17	60	274
18	63	271
19	67	268
20	70	264
21	73	260
22	76	256
23	79	252
24	83	249
25	86	247
26	90	243
27	93	240
28	96	236
29	99	232
30	102	228
31	106	225
32	109	221
33	112	217
34	115	214
35	118	210
36	121	207
37	125	204
38	128	200
39	131	197
40	134	193
41	137	190
42	141	186
43	144	183
44	147	180
45	150	176
46	153	173
47	156	170
48	160	166
49	163	163
50	166	160
51	170	156
52	173	153
53	176	150
54	179	146
55	182	143
56	186	140
57	189	137
58	192	133
59	195	130
60	198	127
61	202	123
62	211	123
63	219	123
64	228	123
65	233	120
66	237	116
67	242	114
68	247	111
69	252	108
70	257	105
71	260	101
72	263	97
73	267	93
74	270	90
75	273	86
76	276	82
77	280	78
78	283	75
79	286	71
80	289	67
81	293	64
82	296	60
83	300	57
84	303	53
85	306	49
86	309	46
87	312	42
88	316	39
89	319	35
90	322	31
91	325	28
92	328	24
93	331	21
94	334	17
95	338	14
96	341	10
97	344	7
98	347	3
99	350	0
