Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Strength,W/C,Sp/C_pct
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,3,16.28,0.5707446808510638,0.0
491.0,26.0,123.0,210.0,3.9,882.0,699.0,56,59.59,0.42769857433808556,0.007942973523421588
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3,13.82,0.7496,0.022
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,35.76,0.6193548387096774,0.0
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4,0.7687425624752083,0.0329234430781436
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28,15.57,1.1059602649006623,0.07947019867549669
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3,12.79,1.0,0.0
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77,0.6564063101192766,0.04001539053482109
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3,6.47,0.8220338983050848,0.0
159.0,187.0,0.0,176.0,11.0,990.0,789.0,28,32.76,1.1069182389937107,0.06918238993710692
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,25.89,0.6665574844415328,0.0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15,0.6,0.0
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90,32.53,1.10657966286025,0.0
480.0,0.0,0.0,192.0,0.0,936.0,721.0,28,43.89,0.4,0.0
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75,1.2200239808153477,0.0
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14,18.13,0.6721854304635762,0.0
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,37.42,0.4869109947643979,0.0
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3,4.9,1.10657966286025,0.0
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,38.63,0.6094946401225115,0.0330781010719755
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13,0.9667673716012085,0.0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,0.4547710976282405,0.031991174848317705
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28,31.84,0.5457227138643068,0.0
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3,6.94,1.1098265895953756,0.0
500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28,44.13,0.3999200159968006,0.005998800239952009
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14,26.31,0.7496470588235294,0.04094117647058823
145.0,0.0,134.0,181.0,11.0,979.0,812.0,28,13.2,1.2482758620689656,0.07586206896551724
250.2,166.8,0.0,203.5,0.0,977.6,694.1,28,36.96,0.8133493205435652,0.0
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,100,45.37,0.58022239872915,0.04924543288324067
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,56.1,0.42369020501138954,0.025284738041002276
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8,0.5601659751037344,0.02744972869454197
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77,0.94985590778098,0.037463976945244955
339.0,0.0,0.0,197.0,0.0,968.0,781.0,180,36.45,0.5811209439528023,0.0
393.0,0.0,0.0,192.0,0.0,940.6,785.6,3,19.2,0.48854961832061067,0.0
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56,38.56,0.8507619548081976,0.05202312138728324
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28,31.88,0.7032193158953722,0.03722334004024145
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,12.64,0.4,0.0
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22,0.5414649887060343,0.07131332687963861
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28,49.25,0.95,0.0
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100,66.42,0.5806320907617504,0.0486223662884927
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7,19.77,0.6807184750733137,0.0
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2,0.3611764705882353,0.03882352941176471
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.2,0.26689252776209305,0.05307735742518351
